iso_code,country,updated,confirmed,deaths
BLZ,Belize,04/09/20,1,0
BLZ,Belize,04/10/20,1,0
BLZ,Belize,04/11/20,1,1
BLZ,Belize,04/12/20,3,0
BLZ,Belize,04/13/20,1,0
BLZ,Belize,04/14/20,4,0
BLZ,Belize,04/15/20,0,0
BLZ,Belize,04/16/20,0,0
BLZ,Belize,04/17/20,0,0
BLZ,Belize,04/18/20,0,0
BLZ,Belize,04/19/20,0,0
BLZ,Belize,04/20/20,0,0
BLZ,Belize,04/21/20,0,0
BLZ,Belize,04/22/20,0,0
BLZ,Belize,04/23/20,0,0
BLZ,Belize,04/24/20,0,0
BLZ,Belize,04/25/20,0,0
BLZ,Belize,04/26/20,0,0
BMU,Bermuda,04/01/20,5,0
BMU,Bermuda,04/02/20,0,0
BMU,Bermuda,04/03/20,3,0
BMU,Bermuda,04/04/20,0,0
BMU,Bermuda,04/05/20,2,0
BMU,Bermuda,04/06/20,0,0
BMU,Bermuda,04/07/20,2,2
BMU,Bermuda,04/08/20,0,0
BMU,Bermuda,04/09/20,0,1
BMU,Bermuda,04/10/20,9,1
BMU,Bermuda,04/11/20,0,0
BMU,Bermuda,04/12/20,2,0
BMU,Bermuda,04/13/20,7,0
BMU,Bermuda,04/14/20,0,0
BMU,Bermuda,04/15/20,0,1
BMU,Bermuda,04/16/20,24,0
BMU,Bermuda,04/17/20,2,0
BMU,Bermuda,04/18/20,0,0
BMU,Bermuda,04/19/20,3,0
BMU,Bermuda,04/20/20,0,0
BMU,Bermuda,04/21/20,0,0
BMU,Bermuda,04/22/20,12,0
BMU,Bermuda,04/23/20,1,0
BMU,Bermuda,04/24/20,0,0
BMU,Bermuda,04/25/20,0,0
BMU,Bermuda,04/26/20,0,0
